si aparece,es
Agricultura,Agricultura y ganadería
Cultivos,Agricultura y ganadería
Producción ganadera,Agricultura y ganadería
EXPLOTACIONES AGRÍCOLAS,Agricultura y ganadería
Propagación de plantas,Agricultura y ganadería
Medio Ambiente,Medio Ambiente
Energías renovables,Medio Ambiente
residuos,Medio Ambiente
ECONOMÍA Y FINANZAS,Economía y finanzas
empresariales,Economía y finanzas
ADMINISTRATIVAS Y SERVICIOS AUXILIARES,Economía y finanzas
COMERCIO AL POR MAYOR,Economía y finanzas
Comercio al por menor,Economía y finanzas
"INFRAESTRUCTURA, URBANISMO Y VIVIENDA","Infraestructura, Urbanismo y Vivienda"
Transporte terrestre y por tubería,"Infraestructura, Urbanismo y Vivienda"
Transporte de mercancías,"Infraestructura, Urbanismo y Vivienda"
Servicios integrales a edificios e instalaciones,"Infraestructura, Urbanismo y Vivienda"
arquitectura e ingeniería,"Infraestructura, Urbanismo y Vivienda"
distribución de agua,"Infraestructura, Urbanismo y Vivienda"
Actividades anexas al transporte,"Infraestructura, Urbanismo y Vivienda"
TRANSPORTE,"Infraestructura, Urbanismo y Vivienda"
ingeniería civil,"Infraestructura, Urbanismo y Vivienda"
empleo,Empleo
recursos humanos,Empleo
"CIENCIA, TECNOLOGÍA E INNOVACIÓN","Ciencia, tecnología e innovación"
"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS","Ciencia, tecnología e innovación"
I+D+i,"Ciencia, tecnología e innovación"
Actividades de investigación,"Ciencia, tecnología e innovación"
Investigación y desarrollo,"Ciencia, tecnología e innovación"
Otras actividades asociativas,Otras actividades
OTROS SERVICIOS,Otras actividades
Actividades asociativas,Otras actividades
TRANSPORTE Y ALMACENAMIENTO,Otras actividades
organizaciones y organismos extraterritoriales,Otras actividades
Venta de vehículos de motor,Otras actividades
Telecomunicaciones,Telecomunicaciones
sistemas de telecomunicación,Telecomunicaciones
Información y comunicaciones,Telecomunicaciones
Digitalización,Digitalización
servicios sociales sin alojamiento,Salud y servicios sociales
ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,Salud y servicios sociales
SANITARIAS Y DE SERVICIOS SOCIALES,Salud y servicios sociales
establecimientos residenciales,Salud y servicios sociales
servicios a la comunidad,Salud y servicios sociales
Administración pública,Administración Pública
Educación preprimaria,Educación
energía eléctrica,Industria y energía
INDUSTRIA Y ENERGÍA,Industria y energía
Industria textil,Industria y energía
INDUSTRIAS EXTRACTIVAS,Industria y energía
INDUSTRIA MANUFACTURERA,Industria y energía
Acabado de edificios,Construcción
Construcción de edificios,Construcción
Actividades de construcción especializada,Construcción
CONSTRUCCIÓN,Construcción
Hostelería,Hostelería
Servicios de alojamiento,Hostelería
"CULTURA, OCIO Y DEPORTES","Cultura, ocio y deportes"
bibliotecas,"Cultura, ocio y deportes"
"Edición de libros, periódicos y otras actividades editoriales","Cultura, ocio y deportes"
Actividades deportivas,"Cultura, ocio y deportes"
Actividades cinematográficas,"Cultura, ocio y deportes"
artísticas,"Cultura, ocio y deportes"
"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","Cultura, ocio y deportes"
Gestión artística,"Cultura, ocio y deportes"
;,Varias