si_aparece,es,nivel_admin
Estado,Administración General del Estado,0
ESTADO,Administración General del Estado,0
Ministerio,Administración General del Estado,0
Renfe,Administración General del Estado,0
Adif,Administración General del Estado,0
Universidad,Administración General del Estado,0
Universitat,Administración General del Estado,0
Ineco,Administración General del Estado,0
Área de Gobierno de Medio Ambiente y Movilidad,Administración General del Estado,0
Oficina Presupuestaria y de la Gestión Económica,Administración General del Estado,0
Empresa de Transformación Agraria,Administración General del Estado,0
TRAGSA,Administración General del Estado,0
Subdirección General de Oficialía Mayor,Administración General del Estado,0
Ingeniería de Sistemas para la Defensa de España,Administración General del Estado,0
Centro Español de Metrología,Administración General del Estado,0
Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio,Administración General del Estado,0
Aguas de las Cuencas de España,Administración General del Estado,0
"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",Administración General del Estado,0
Centro Nacional,Administración General del Estado,0
Museo Nacional,Administración General del Estado,0
TRAGSATEC,Administración General del Estado,0
Dirección General de Bellas Artes,Administración General del Estado,0
Organismo Autónomo Parques Nacionales,Administración General del Estado,0
Base Aérea de Matacán,Administración General del Estado,0
Pesca Sostenible,Administración General del Estado,0
RED.ES,Administración General del Estado,0
Servicio Público de Empleo Estatal,Administración General del Estado,0
Autoridad Portuaria,Administración General del Estado,0
Agencia Española de,Administración General del Estado,0
Centro para el Desarrollo Tecnológico Industrial,Administración General del Estado,0
Racionalización y Centralización de la Contratación,Administración General del Estado,0
ICEX España Exportación e Inversiones,Administración General del Estado,0
Sociedad Estatal Correos y Telégrafos,Administración General del Estado,0
Sanidad de la Defensa,Administración General del Estado,0
Intendente de Ferrol,Administración General del Estado,0
Instituto de Cinematografía y de las Artes Audiovisuales,Administración General del Estado,0
Sistema Nacional de Salud,Administración General del Estado,0
Sociedad Capital Riesgo Innvierte Economía Sostenible,Administración General del Estado,0
Intendente de las Palmas,Administración General del Estado,0
Aguas de las Cuencas Mediterráneas,Administración General del Estado,0
ASEPEYO,Administración General del Estado,0
Gestión Económica y Patrimonial,Administración General del Estado,0
Sanidad de la Producción Agraria,Administración General del Estado,0
Fraternidad Muprespa,Administración General del Estado,0
Fondo de Garantía Salarial (FOGASA),Administración General del Estado,0
Organización Nacional,Administración General del Estado,0
Instituto de Salud Carlos III,Administración General del Estado,0
Ordenación Pesquera y Acuicultura,Administración General del Estado,0
Subsecretaría de Fomento,Administración General del Estado,0
Secretaría General de Administración Digital,Administración General del Estado,0
Dirección General de Política Comercial,Administración General del Estado,0
Protección Civil y Emergencias,Administración General del Estado,0
Planificación y Gestión de Transformación Digital,Administración General del Estado,0
Cuerpo Nacional de Policía,Administración General del Estado,0
Dirección General de Carreteras,Administración General del Estado,0
Secretaría General de Pesca,Administración General del Estado,0
Subdirección General de Gestión Económica,Administración General del Estado,0
Fundación Biodiversidad,Administración General del Estado,0
Radio y Televisión Española,Administración General del Estado,0
General de Tecnologías de la Información y las Comunicaciones,Administración General del Estado,0
SEGITTUR,Administración General del Estado,0
Seguridad Social,Administración General del Estado,0
Intendente de Rota,Administración General del Estado,0
Centro de Estudios Jurídicos O.A.,Administración General del Estado,0
"Biodiversidad, Bosques y Desertificación",Administración General del Estado,0
Consejo Superior de Deportes,Administración General del Estado,0
Empresa Pública de Gestión de Activos,Administración General del Estado,0
Comité Central de Compras de Navantia,Administración General del Estado,0
Asuntos Económicos del Mando de Apoyo Logístico,Administración General del Estado,0
Cuartel General del Ejército,Administración General del Estado,0
Centro de Investigación Agrigenómica (CRAG),Administración General del Estado,0
Biblioteca Nacional,Administración General del Estado,0
Fundación EOI,Administración General del Estado,0
UNED,Administración General del Estado,0
ENUSA Industrias Avanzadas,Administración General del Estado,0
Dirección General de Ordenación Profesional,Administración General del Estado,0
"Dirección General de Salud Pública, Calidad e Innovación",Administración General del Estado,0
Fundación Estatal para la Formación en el Empleo,Administración General del Estado,0
Agencia Tributaria,Administración General del Estado,0
Hospital Intermutual de Levante,Administración General del Estado,0
Jefatura de Apoyo Logístico de la Armada,Administración General del Estado,0
Mutua Montañesa,Administración General del Estado,0
Dirección General de Gobernanza Pública,Administración General del Estado,0
Centre de Recerca Agrigenòmica (CRAG),Administración General del Estado,0
Instituto Cervantes,Administración General del Estado,0
General LogiRail S.A.,Administración General del Estado,0
Hospital Nacional,Administración General del Estado,0
Instituto Geográfico Nacional,Administración General del Estado,0
Instituto para la Transición Justa,Administración General del Estado,0
Fondo Español de Garantía Agraria,Administración General del Estado,0
Andalucía,Comunidades Autónomas,1
Aragón,Comunidades Autónomas,1
Principado de Asturias / Asturias,Comunidades Autónomas,1
Illes Balears / Islas Baleares,Comunidades Autónomas,1
Canarias,Comunidades Autónomas,1
Cantabria,Comunidades Autónomas,1
Castilla y León,Comunidades Autónomas,1
Castilla-La Mancha,Comunidades Autónomas,1
Cataluña/Catalunya,Comunidades Autónomas,1
Comunitat Valenciana / Comunidad Valenciana,Comunidades Autónomas,1
Extremadura,Comunidades Autónomas,1
Galicia,Comunidades Autónomas,1
Comunidad de Madrid,Comunidades Autónomas,1
Región de Murcia,Comunidades Autónomas,1
Comunidad Foral de Navarra,Comunidades Autónomas,1
País Vasco,Comunidades Autónomas,1
La Rioja,Comunidades Autónomas,1
Ciudad autónoma de Ceuta,Comunidades Autónomas,1
Ciudad autónoma de Melilla,Comunidades Autónomas,1
Consejería,Comunidades Autónomas,1
Conselleria,Comunidades Autónomas,1
Consellería,Comunidades Autónomas,1
Departamento,Comunidades Autónomas,1
Servicio Navarro de Empleo,Comunidades Autónomas,1
ICFO,Comunidades Autónomas,1
Hospital Clínico Univ. de Valladolid,Comunidades Autónomas,1
Entidad Valenciana de Vivienda y suelo,Comunidades Autónomas,1
FUNDECYT-PCTEX,Comunidades Autónomas,1
Fundación IMDEA,Comunidades Autónomas,1
Consorcio Ruta del Vino Ribera del Duero,Comunidades Autónomas,1
Instituto Aragonés de Servicios Sociales,Comunidades Autónomas,1
Entidad Pública Aragonesa,Comunidades Autónomas,1
Ciudad de las Artes y de las Ciencias,Comunidades Autónomas,1
Instituto Gallego de la Vivienda y Suelo,Comunidades Autónomas,1
Dirección General de Proyectos Estratégicos,Comunidades Autónomas,1
Gobierno Vasco,Comunidades Autónomas,1
Ente Vasco de la Energia,Comunidades Autónomas,1
Ente Vasco de la Energía,Comunidades Autónomas,1
Agencia Gallega para la Modernización Tecnológica,Comunidades Autónomas,1
Hospital Univ. Rio Hortega de Valladolid,Comunidades Autónomas,1
Servicio Cántabro de Salud,Comunidades Autónomas,1
Dirección General de Planificación Económica,Comunidades Autónomas,1
Servicio Canario de la Salud,Comunidades Autónomas,1
Servicio Extremeño Público de Empleo,Comunidades Autónomas,1
"Hacienda, Presupuestos y Asuntos Europeos",Comunidades Autónomas,1
"Área de Gobierno de Cultura, Turismo y Deporte",Comunidades Autónomas,1
Dirección General de Formación Profesional y Educación de Adultos,Comunidades Autónomas,1
INSTITUTO CATALÁN DE LA ENERGÍA,Comunidades Autónomas,1
Agencia Cántabra,Comunidades Autónomas,1
Servicio Vasco de Empleo,Comunidades Autónomas,1
Ferrocarrils de la Generalitat Valenciana,Comunidades Autónomas,1
Instituto Cántabro,Comunidades Autónomas,1
FIMABIS,Comunidades Autónomas,1
Servicio Catalán de Tráfico,Comunidades Autónomas,1
Hospital La Magdalena,Comunidades Autónomas,1
Fundación para la Investigación Biomédica de Córdoba,Comunidades Autónomas,1
Instituto de Investigación Biomédica de Bellvitge (IDIBELL),Comunidades Autónomas,1
Fundación Instituto de Investigación Biomédica,Comunidades Autónomas,1
Instituto Murciano de Acción Social,Comunidades Autónomas,1
Instituto Aragonés de Empleo,Comunidades Autónomas,1
Investigación y Tecnología Agroalimentarias (IRTA),Comunidades Autónomas,1
"Centros, Infraestructura y Promoción Educativa",Comunidades Autónomas,1
Gerencia del Area de Atención Integrada de Guadalajara,Comunidades Autónomas,1
Servicio Regional de Empleo y Formación (SEF),Comunidades Autónomas,1
Fundació Institut Socioeducatiu s'Estel,Comunidades Autónomas,1
Servicio Catalán de la Salud,Comunidades Autónomas,1
Institut Mallorquí d' Afers Socials,Comunidades Autónomas,1
Dirección General de Relaciones con la Administración de Justicia,Comunidades Autónomas,1
Labora Servicio Valenciano de Empleo y Formación,Comunidades Autónomas,1
Gobierno de Zaragoza,Comunidades Autónomas,1
Consejeria de Cultura y Politica Lingüistica,Comunidades Autónomas,1
"Instituto Leonés de Desarrollo Económico, Formación y Empleo",Comunidades Autónomas,1
Fundación para la Investigación del Hospital Universitario de la Fe,Comunidades Autónomas,1
Área de Salud de Cáceres,Comunidades Autónomas,1
Instituto Aragonés de Ciencias de la Salud,Comunidades Autónomas,1
Servicio Murciano de Salud,Comunidades Autónomas,1
Hospital Dr. Moliner.,Comunidades Autónomas,1
Transportes del Área de Zaragoza,Comunidades Autónomas,1
Servicio Canario de Empleo,Comunidades Autónomas,1
ESAMUR,Comunidades Autónomas,1
Consejero/a de Cultura y Política Lingüística,Comunidades Autónomas,1
Asistencia Sanitaria del Bierzo,Comunidades Autónomas,1
Atención Especializada de Salamanca,Comunidades Autónomas,1
Servicio Aragonés de Salud,Comunidades Autónomas,1
Consorcio Hospitalario de Vic,Comunidades Autónomas,1
Atención Especializada de Aranda de Duero,Comunidades Autónomas,1
Ayuntamiento,Entes locales,2
Ajuntament,Entes locales,2
consistorio,Entes locales,2
Consorcio Sanitario de Terrassa,Entes locales,2
Federación Española de Municipios y Provincias,Entes locales,2
Diputación Provincial,Entes locales,2
Guaguas Municipales,Entes locales,2
Gerencia Atención Primaria de Valladolid,Entes locales,2
Consell Insular de Menorca,Entes locales,2
Societat Municipal d'Aparcaments i Projectes,Entes locales,2
Granollers Escena,Entes locales,2
Reus Movilidad y Servicios,Entes locales,2
Empresa Municipal,Entes locales,2
Sociedad Anónima Municipal Autobuses Urbanos,Entes locales,2
Transportes Urbanos de Sevilla,Entes locales,2
Transporte Metropolitano,Entes locales,2
Comarca de,Entes locales,2
Empresa Malagueña de Transportes,Entes locales,2
Sociedad Municipal,Entes locales,2
AREA METROPOLITANA DE BARCELONA,Entes locales,2
Gobierno de Obras y Equipamientos,Entes locales,2
Patronato Deportivo Municipal,Entes locales,2
Transportes de Barcelona,Entes locales,2
Confederación Hidrográfica del Guadiana,Entes locales,2
Actuaciones Urbanas de Valencia,Entes locales,2
Diputación de Lleida,Entes locales,2
"Área de Gobierno de Familias, Igualdad y Bienestar Social",Entes locales,2
Área de Salud de Lanzarote,Entes locales,2
Transportes Municipales,Entes locales,2
Gran Teatro del Liceo,Entes locales,2
Atención Especializada de León,Entes locales,2
Área Metropolitana de Barcelona,Entes locales,2
Asistencia Sanitaria de Ávila,Entes locales,2
COMIRUÑA,Entes locales,2
Consorcio Hospitalario Provincial de Castellón,Entes locales,2
Comarcal del Baix Penedès,Entes locales,2
Cabildo Insular,Entes locales,2
Comarcal de la Garrotxa,Entes locales,2
Equipamientos Municipales,Entes locales,2
Consorcio Catalán para el Desarrollo Local,Entes locales,2
Entidad Local Autónoma de,Entes locales,2
LIPASAM,Entes locales,2
ANIMSA,Entes locales,2
"Museo de Lleida, Diocesano y Comarcal",Entes locales,2
Viladecans Calidad,Entes locales,2
Parque Tecnológico de Fuerteventura,Entes locales,2
Egarvia SA,Entes locales,2
Serveis Ferroviaris de Mallorca,Entes locales,2
Consorcio As Mariñas,Entes locales,2
Servicio Territorial en Cáceres,Entes locales,2
Promoción de la Ciudad de Las Palmas de Gran Canaria,Entes locales,2
Sociedad de Desarrollo de Santa Cruz de Tenerife,Entes locales,2
BASE-Gestión de Ingresos,Entes locales,2
Gestión de los Residuos Sólidos Urbanos de Málaga,Entes locales,2
Servicios Municipales de Alcorcón,Entes locales,2
"PROYECTOS Y SERVICIOS DE MOVILIDAD, SA",Entes locales,2
Servicio de Prevención y Extinción de Incendios y Salvamento de Alicante,Entes locales,2
Madrid Destino Cultura Turismo y Negocio,Entes locales,2
Figueres de Serveis,Entes locales,2
Grupo Energético de Puerto Real,Entes locales,2
 Comarca Alto Gallego,Entes locales,2
Alcaldía del Concello de Foz,Entes locales,2
Gestion Integral del Agua de Huelva,Entes locales,2
Padroado da Cultura de Narón,Entes locales,2
Agencia de Desarrollo del Ripollès,Entes locales,2
Diputación de Badajoz,Entes locales,2
Consorcio Agrupacion 1 Huesca,Entes locales,2
Ferrocarril Metropolitano de Barcelona,Entes locales,2
VNG Aparcamientos,Entes locales,2
"CON Información y Servicios, SA",Entes locales,2
DIPUTACIÓN FORAL,Entes locales,2
Transportes de Bizkaia,Entes locales,2
GESTIÓN DE RESIDUOS HUESCA,Entes locales,2
Tenencia de Alcaldía,Entes locales,2